Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,AMD,2994.0,BLR,3131.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Sardar Vallabhbhai Patel International Airport → Kempegowda International Airport,Domestic
6E,2850.0,AMD,2994.0,BOM,2997.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Sardar Vallabhbhai Patel International Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,AMD,2994.0,CCU,3043.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Sardar Vallabhbhai Patel International Airport → Netaji Subhash Chandra Bose International Airport,Domestic
6E,2850.0,AMD,2994.0,DEL,3093.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Sardar Vallabhbhai Patel International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,AMD,2994.0,GOI,3007.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Dabolim Airport,Goa,India,15.3808002472,73.8313980103,Sardar Vallabhbhai Patel International Airport → Dabolim Airport,Domestic
6E,2850.0,AMD,2994.0,JAI,3098.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Jaipur International Airport,Jaipur,India,26.8242,75.812202,Sardar Vallabhbhai Patel International Airport → Jaipur International Airport,Domestic
6E,2850.0,AMD,2994.0,MAA,3144.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Sardar Vallabhbhai Patel International Airport → Chennai International Airport,Domestic
6E,2850.0,AMD,2994.0,PNQ,3017.0,,0,320,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Pune Airport,Pune,India,18.58209991455078,73.9197006225586,Sardar Vallabhbhai Patel International Airport → Pune Airport,Domestic
6E,2850.0,BBI,3042.0,BLR,3131.0,,0,320,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Biju Patnaik Airport → Kempegowda International Airport,Domestic
6E,2850.0,BBI,3042.0,BOM,2997.0,,0,320,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Biju Patnaik Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,BBI,3042.0,CCU,3043.0,,0,320,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Biju Patnaik Airport → Netaji Subhash Chandra Bose International Airport,Domestic
6E,2850.0,BBI,3042.0,DEL,3093.0,,0,320,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Biju Patnaik Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,BBI,3042.0,VTZ,3066.0,,0,320,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Vishakhapatnam Airport,Vishakhapatnam,India,17.721200943,83.2245025635,Biju Patnaik Airport → Vishakhapatnam Airport,Domestic
6E,2850.0,BDQ,3001.0,BOM,2997.0,,0,320,Vadodara Airport,Baroda,India,22.336201,73.226303,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Vadodara Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,BDQ,3001.0,DEL,3093.0,,0,320,Vadodara Airport,Baroda,India,22.336201,73.226303,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Vadodara Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,BKK,3885.0,CCU,3043.0,,0,320,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Suvarnabhumi Airport → Netaji Subhash Chandra Bose International Airport,International
6E,2850.0,BKK,3885.0,DEL,3093.0,,0,320,Suvarnabhumi Airport,Bangkok,Thailand,13.681099891662598,100.74700164794922,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Suvarnabhumi Airport → Indira Gandhi International Airport,International
6E,2850.0,BLR,3131.0,AMD,2994.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Kempegowda International Airport → Sardar Vallabhbhai Patel International Airport,Domestic
6E,2850.0,BLR,3131.0,BBI,3042.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Kempegowda International Airport → Biju Patnaik Airport,Domestic
6E,2850.0,BLR,3131.0,BOM,2997.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Kempegowda International Airport → Chhatrapati Shivaji International Airport,Domestic
6E,2850.0,BLR,3131.0,CCU,3043.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.654699325561523,88.44670104980469,Kempegowda International Airport → Netaji Subhash Chandra Bose International Airport,Domestic
6E,2850.0,BLR,3131.0,COK,3136.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Cochin International Airport,Kochi,India,10.152,76.401901,Kempegowda International Airport → Cochin International Airport,Domestic
